model,dataset,axis,val_acc_clean,val_acc_axis,delta_pp
resnet50,cifar10,resolution,0.9517999887466431,0.6845999956130981,-26.719999313354492
resnet50,cifar10,blur,0.9517999887466431,0.8677999973297119,-8.399999141693115
resnet50,cifar10,noise,0.9517999887466431,0.7806000113487244,-17.11999773979187
resnet50,cifar10,salt_pepper,0.9517999887466431,0.8651999831199646,-8.660000562667847
resnet50,cifar10,saturation,0.9517999887466431,0.925599992275238,-2.619999647140503
resnet50,mnist,resolution,0.9914000034332275,0.9348000288009644,-5.659997463226318
resnet50,mnist,blur,0.9914000034332275,0.9918000102043152,0.04000067710876465
resnet50,mnist,noise,0.9914000034332275,0.9909999966621399,-0.04000067710876465
resnet50,mnist,salt_pepper,0.9914000034332275,0.9887999892234802,-0.26000142097473145
resnet50,mnist,saturation,0.9914000034332275,0.9936000108718872,0.2200007438659668
densenet121,cifar10,resolution,0.9355999827384949,0.676800012588501,-25.87999701499939
densenet121,cifar10,blur,0.9355999827384949,0.8644000291824341,-7.119995355606079
densenet121,cifar10,noise,0.9355999827384949,0.7954000234603882,-14.019995927810669
densenet121,cifar10,salt_pepper,0.9355999827384949,0.8795999884605408,-5.59999942779541
densenet121,cifar10,saturation,0.9355999827384949,0.9165999889373779,-1.8999993801116943
densenet121,mnist,resolution,0.9929999709129333,0.9359999895095825,-5.699998140335083
densenet121,mnist,blur,0.9929999709129333,0.9896000027656555,-0.3399968147277832
densenet121,mnist,noise,0.9929999709129333,0.9923999905586243,-0.0599980354309082
densenet121,mnist,salt_pepper,0.9929999709129333,0.9905999898910522,-0.23999810218811035
densenet121,mnist,saturation,0.9929999709129333,0.9926000237464905,-0.03999471664428711
transnext_tiny,cifar10,resolution,0.9764000177383423,0.7964000105857849,-18.000000715255737
transnext_tiny,cifar10,blur,0.9764000177383423,0.9495999813079834,-2.6800036430358887
transnext_tiny,cifar10,noise,0.9764000177383423,0.8939999938011169,-8.240002393722534
transnext_tiny,cifar10,salt_pepper,0.9764000177383423,0.954800009727478,-2.160000801086426
transnext_tiny,cifar10,saturation,0.9764000177383423,0.9753999710083008,-0.10000467300415039
transnext_tiny,mnist,resolution,0.9923999905586243,0.9247999787330627,-6.760001182556152
transnext_tiny,mnist,blur,0.9923999905586243,0.9914000034332275,-0.09999871253967285
transnext_tiny,mnist,noise,0.9923999905586243,0.9923999905586243,0.0
transnext_tiny,mnist,salt_pepper,0.9923999905586243,0.9882000088691711,-0.4199981689453125
transnext_tiny,mnist,saturation,0.9923999905586243,0.9918000102043152,-0.0599980354309082
