tag,model,dataset,phase,level,axis,regularization,seed,val_acc,psnr_mean,psnr_std,ssim_mean,ssim_std,val_acc_mean,val_acc_std,n_seeds
final_C2_L5_resolution_resnet50_mnist,resnet50,mnist,C2,5,resolution,T3,42,0.4553999900817871,11.120914459228516,1.8049064874649048,0.5071371793746948,0.10736065357923508,,,1
final_C2_L5_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,5,resolution,T3,42,0.305400013923645,15.079986572265625,2.4907376766204834,0.6810494661331177,0.10804712772369385,,,1
final_C2_L5_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C2,5,resolution,T3,42,0.4560000002384186,11.120914459228516,1.8049064874649048,0.5071371793746948,0.10736065357923508,,,1
final_C2_L5_salt_pepper_densenet121_cifar10,densenet121,cifar10,C2,5,salt_pepper,T3,42,0.7778000235557556,13.352895736694336,0.7394314408302307,0.4368789494037628,0.04474220797419548,,,1
final_C2_L5_salt_pepper_densenet121_mnist,densenet121,mnist,C2,5,salt_pepper,T3,42,0.9905999898910522,12.131564140319824,0.5293362140655518,0.5962540507316589,0.03499796986579895,,,1
final_C2_L5_salt_pepper_resnet50_cifar10,resnet50,cifar10,C2,5,salt_pepper,T3,42,0.7468000054359436,13.352895736694336,0.7394314408302307,0.4368789494037628,0.04474220797419548,,,1
final_C2_L5_salt_pepper_resnet50_mnist,resnet50,mnist,C2,5,salt_pepper,T3,42,0.9900000095367432,12.131564140319824,0.5293362140655518,0.5962540507316589,0.03499796986579895,,,1
final_C2_L5_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,5,salt_pepper,T3,42,0.895799994468689,13.352895736694336,0.7394314408302307,0.4368789494037628,0.04474220797419548,,,1
final_C2_L5_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C2,5,salt_pepper,T3,42,0.9908000230789185,12.131564140319824,0.5293362140655518,0.5962540507316589,0.03499796986579895,,,1
final_C_L1_blur_densenet121_cifar10,densenet121,cifar10,C,1,blur,,42,0.9053999781608582,41.982208251953125,2.542469024658203,0.9832876920700073,0.006734228227287531,,,1
final_C_L1_blur_densenet121_mnist,densenet121,mnist,C,1,blur,,42,0.9905999898910522,36.552574157714844,1.4881840944290161,0.9759203195571899,0.00622783787548542,,,1
final_C_L1_blur_resnet50_cifar10,resnet50,cifar10,C,1,blur,,42,0.9354000091552734,41.982208251953125,2.542469024658203,0.9832876920700073,0.006734228227287531,,,1
final_C_L1_blur_resnet50_mnist,resnet50,mnist,C,1,blur,,42,0.9932000041007996,36.552574157714844,1.4881840944290161,0.9759203195571899,0.00622783787548542,,,1
final_C_L1_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C,1,blur,,42,0.9765999913215637,41.982208251953125,2.542469024658203,0.9832876920700073,0.006734228227287531,,,1
final_C_L1_blur_transnext_tiny_mnist,transnext_tiny,mnist,C,1,blur,,42,0.9923999905586243,36.552574157714844,1.4881840944290161,0.9759203195571899,0.00622783787548542,,,1
final_C_L1_noise_densenet121_cifar10,densenet121,cifar10,C,1,noise,,42,0.88919997215271,28.600540161132812,0.41983097791671753,0.8405019640922546,0.020845919847488403,,,1
final_C_L1_noise_densenet121_mnist,densenet121,mnist,C,1,noise,,42,0.993399977684021,29.475852966308594,0.7353115081787109,0.6009330153465271,0.02735178731381893,,,1
final_C_L1_noise_resnet50_cifar10,resnet50,cifar10,C,1,noise,,42,0.8913999795913696,28.600540161132812,0.41983097791671753,0.8405019640922546,0.020845919847488403,,,1
final_C_L1_noise_resnet50_mnist,resnet50,mnist,C,1,noise,,42,0.9909999966621399,29.475852966308594,0.7353115081787109,0.6009330153465271,0.02735178731381893,,,1
final_C_L1_noise_transnext_tiny_cifar10,transnext_tiny,cifar10,C,1,noise,,42,0.9598000049591064,28.600540161132812,0.41983097791671753,0.8405019640922546,0.020845919847488403,,,1
final_C_L1_noise_transnext_tiny_mnist,transnext_tiny,mnist,C,1,noise,,42,0.991599977016449,29.475852966308594,0.7353115081787109,0.6009330153465271,0.02735178731381893,,,1
final_C_L1_resolution_densenet121_cifar10,densenet121,cifar10,C,1,resolution,,42,0.8651999831199646,30.781888961791992,2.695894718170166,0.9167695641517639,0.03476459160447121,,,1
final_C_L1_resolution_densenet121_mnist,densenet121,mnist,C,1,resolution,,42,0.9922000169754028,27.17656898498535,1.5116242170333862,0.9269548654556274,0.01670055463910103,,,1
final_C_L1_resolution_resnet50_cifar10,resnet50,cifar10,C,1,resolution,,42,0.8799999952316284,30.781888961791992,2.695894718170166,0.9167695641517639,0.03476459160447121,,,1
final_C_L1_resolution_resnet50_mnist,resnet50,mnist,C,1,resolution,,42,0.9883999824523926,27.17656898498535,1.5116242170333862,0.9269548654556274,0.01670055463910103,,,1
final_C_L1_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C,1,resolution,,42,0.9513999819755554,30.781888961791992,2.695894718170166,0.9167695641517639,0.03476459160447121,,,1
final_C_L1_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C,1,resolution,,42,0.9914000034332275,27.17656898498535,1.5116242170333862,0.9269548654556274,0.01670055463910103,,,1
final_C_L1_salt_pepper_densenet121_cifar10,densenet121,cifar10,C,1,salt_pepper,,42,0.9071999788284302,21.655563354492188,1.1003608703613281,0.8584103584289551,0.023474643006920815,,,1
final_C_L1_salt_pepper_densenet121_mnist,densenet121,mnist,C,1,salt_pepper,,42,0.9918000102043152,19.863862991333008,1.1951278448104858,0.8879556059837341,0.02219664305448532,,,1
final_C_L1_salt_pepper_resnet50_cifar10,resnet50,cifar10,C,1,salt_pepper,,42,0.90420001745224,21.655563354492188,1.1003608703613281,0.8584103584289551,0.023474643006920815,,,1
final_C_L1_salt_pepper_resnet50_mnist,resnet50,mnist,C,1,salt_pepper,,42,0.9908000230789185,19.863862991333008,1.1951278448104858,0.8879556059837341,0.02219664305448532,,,1
final_C_L1_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C,1,salt_pepper,,42,0.9728000164031982,21.655563354492188,1.1003608703613281,0.8584103584289551,0.023474643006920815,,,1
final_C_L1_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C,1,salt_pepper,,42,0.9900000095367432,19.863862991333008,1.1951278448104858,0.8879556059837341,0.02219664305448532,,,1
final_C_L1_saturation_densenet121_cifar10,densenet121,cifar10,C,1,saturation,,42,0.91839998960495,36.44712829589844,2.3874619007110596,0.9746992588043213,0.009674963541328907,,,1
final_C_L1_saturation_densenet121_mnist,densenet121,mnist,C,1,saturation,,42,0.9932000041007996,32.353492736816406,1.6432890892028809,0.9630127549171448,0.01046804804354906,,,1
final_C_L1_saturation_resnet50_cifar10,resnet50,cifar10,C,1,saturation,,42,0.9205999970436096,36.44712829589844,2.3874619007110596,0.9746992588043213,0.009674963541328907,,,1
final_C_L1_saturation_resnet50_mnist,resnet50,mnist,C,1,saturation,,42,0.9894000291824341,32.353492736816406,1.6432890892028809,0.9630127549171448,0.01046804804354906,,,1
final_C_L1_saturation_transnext_tiny_cifar10,transnext_tiny,cifar10,C,1,saturation,,42,0.979200005531311,36.44712829589844,2.3874619007110596,0.9746992588043213,0.009674963541328907,,,1
final_C_L1_saturation_transnext_tiny_mnist,transnext_tiny,mnist,C,1,saturation,,42,0.9936000108718872,32.353492736816406,1.6432890892028809,0.9630127549171448,0.01046804804354906,,,1
final_C_L2_blur_densenet121_cifar10,densenet121,cifar10,C,2,blur,,42,0.9039999842643738,33.575157165527344,2.5864248275756836,0.9518495798110962,0.020485982298851013,,,1
final_C_L2_blur_densenet121_mnist,densenet121,mnist,C,2,blur,,42,0.993399977684021,29.670940399169922,1.206032156944275,0.9390783309936523,0.012447412125766277,,,1
final_C_L2_blur_resnet50_cifar10,resnet50,cifar10,C,2,blur,,42,0.8988000154495239,33.575157165527344,2.5864248275756836,0.9518495798110962,0.020485982298851013,,,1
final_C_L2_blur_resnet50_mnist,resnet50,mnist,C,2,blur,,42,0.9914000034332275,29.670940399169922,1.206032156944275,0.9390783309936523,0.012447412125766277,,,1
final_C_L2_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C,2,blur,,42,0.9724000096321106,33.575157165527344,2.5864248275756836,0.9518495798110962,0.020485982298851013,,,1
final_C_L2_blur_transnext_tiny_mnist,transnext_tiny,mnist,C,2,blur,,42,0.9896000027656555,29.670940399169922,1.206032156944275,0.9390783309936523,0.012447412125766277,,,1
final_C_L2_noise_densenet121_cifar10,densenet121,cifar10,C,2,noise,,42,0.8363999724388123,23.339492797851562,0.36355552077293396,0.6418746709823608,0.03796744719147682,,,1
final_C_L2_noise_densenet121_mnist,densenet121,mnist,C,2,noise,,42,0.9926000237464905,25.3553524017334,0.2997320294380188,0.47979599237442017,0.03303335979580879,,,1
final_C_L2_noise_resnet50_cifar10,resnet50,cifar10,C,2,noise,,42,0.847000002861023,23.339492797851562,0.36355552077293396,0.6418746709823608,0.03796744719147682,,,1
final_C_L2_noise_resnet50_mnist,resnet50,mnist,C,2,noise,,42,0.991599977016449,25.3553524017334,0.2997320294380188,0.47979599237442017,0.03303335979580879,,,1
final_C_L2_noise_transnext_tiny_cifar10,transnext_tiny,cifar10,C,2,noise,,42,0.9333999752998352,23.339492797851562,0.36355552077293396,0.6418746709823608,0.03796744719147682,,,1
final_C_L2_noise_transnext_tiny_mnist,transnext_tiny,mnist,C,2,noise,,42,0.9927999973297119,25.3553524017334,0.2997320294380188,0.47979599237442017,0.03303335979580879,,,1
final_C_L2_resolution_densenet121_cifar10,densenet121,cifar10,C,2,resolution,,42,0.7960000038146973,25.328777313232422,2.6504807472229004,0.8454626798629761,0.05992923304438591,,,1
final_C_L2_resolution_densenet121_mnist,densenet121,mnist,C,2,resolution,,42,0.9861999750137329,21.045900344848633,1.582413911819458,0.8473184704780579,0.03580872714519501,,,1
final_C_L2_resolution_resnet50_cifar10,resnet50,cifar10,C,2,resolution,,42,0.7897999882698059,25.328777313232422,2.6504807472229004,0.8454626798629761,0.05992923304438591,,,1
final_C_L2_resolution_resnet50_mnist,resnet50,mnist,C,2,resolution,,42,0.9850000143051147,21.045900344848633,1.582413911819458,0.8473184704780579,0.03580872714519501,,,1
final_C_L2_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C,2,resolution,,42,0.8862000107765198,25.328777313232422,2.6504807472229004,0.8454626798629761,0.05992923304438591,,,1
final_C_L2_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C,2,resolution,,42,0.9807999730110168,21.045900344848633,1.582413911819458,0.8473184704780579,0.03580872714519501,,,1
final_C_L2_salt_pepper_densenet121_cifar10,densenet121,cifar10,C,2,salt_pepper,,42,0.8898000121116638,18.614337921142578,0.8729439973831177,0.7545133829116821,0.0316510945558548,,,1
final_C_L2_salt_pepper_densenet121_mnist,densenet121,mnist,C,2,salt_pepper,,42,0.9914000034332275,16.933563232421875,0.9559600949287415,0.8195873498916626,0.029703263193368912,,,1
final_C_L2_salt_pepper_resnet50_cifar10,resnet50,cifar10,C,2,salt_pepper,,42,0.8992000222206116,18.614337921142578,0.8729439973831177,0.7545133829116821,0.0316510945558548,,,1
final_C_L2_salt_pepper_resnet50_mnist,resnet50,mnist,C,2,salt_pepper,,42,0.989799976348877,16.933563232421875,0.9559600949287415,0.8195873498916626,0.029703263193368912,,,1
final_C_L2_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C,2,salt_pepper,,42,0.9660000205039978,18.614337921142578,0.8729439973831177,0.7545133829116821,0.0316510945558548,,,1
final_C_L2_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C,2,salt_pepper,,42,0.991599977016449,16.933563232421875,0.9559600949287415,0.8195873498916626,0.029703263193368912,,,1
final_C_L2_saturation_densenet121_cifar10,densenet121,cifar10,C,2,saturation,,42,0.9142000079154968,31.342334747314453,3.4164483547210693,0.9684880375862122,0.014231082983314991,,,1
final_C_L2_saturation_densenet121_mnist,densenet121,mnist,C,2,saturation,,42,0.9923999905586243,32.35470199584961,1.643362283706665,0.9630130529403687,0.01046779751777649,,,1
final_C_L2_saturation_resnet50_cifar10,resnet50,cifar10,C,2,saturation,,42,0.9282000064849854,31.342334747314453,3.4164483547210693,0.9684880375862122,0.014231082983314991,,,1
final_C_L2_saturation_resnet50_mnist,resnet50,mnist,C,2,saturation,,42,0.9918000102043152,32.35470199584961,1.643362283706665,0.9630130529403687,0.01046779751777649,,,1
final_C_L2_saturation_transnext_tiny_cifar10,transnext_tiny,cifar10,C,2,saturation,,42,0.9778000116348267,31.342334747314453,3.4164483547210693,0.9684880375862122,0.014231082983314991,,,1
final_C_L2_saturation_transnext_tiny_mnist,transnext_tiny,mnist,C,2,saturation,,42,0.9896000027656555,32.35470199584961,1.643362283706665,0.9630130529403687,0.01046779751777649,,,1
final_C_L3_blur_densenet121_cifar10,densenet121,cifar10,C,3,blur,,42,0.8644000291824341,27.223888397216797,2.535698890686035,0.8847867846488953,0.044936876744031906,,,1
final_C_L3_blur_densenet121_mnist,densenet121,mnist,C,3,blur,,42,0.9896000027656555,22.34144401550293,1.198505163192749,0.8194273710250854,0.03654605522751808,,,1
final_C_L3_blur_resnet50_cifar10,resnet50,cifar10,C,3,blur,,42,0.8677999973297119,27.223888397216797,2.535698890686035,0.8847867846488953,0.044936876744031906,,,1
final_C_L3_blur_resnet50_mnist,resnet50,mnist,C,3,blur,,42,0.9918000102043152,22.34144401550293,1.198505163192749,0.8194273710250854,0.03654605522751808,,,1
final_C_L3_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C,3,blur,,42,0.9495999813079834,27.223888397216797,2.535698890686035,0.8847867846488953,0.044936876744031906,,,1
final_C_L3_blur_transnext_tiny_mnist,transnext_tiny,mnist,C,3,blur,,42,0.9914000034332275,22.34144401550293,1.198505163192749,0.8194273710250854,0.03654605522751808,,,1
final_C_L3_noise_densenet121_cifar10,densenet121,cifar10,C,3,noise,,42,0.7954000234603882,20.11908531188965,0.4165133535861969,0.48854246735572815,0.04692786559462547,,,1
final_C_L3_noise_densenet121_mnist,densenet121,mnist,C,3,noise,,42,0.9923999905586243,22.232688903808594,0.21163788437843323,0.41287311911582947,0.0333477258682251,,,1
final_C_L3_noise_resnet50_cifar10,resnet50,cifar10,C,3,noise,,42,0.7806000113487244,20.11908531188965,0.4165133535861969,0.48854246735572815,0.04692786559462547,,,1
final_C_L3_noise_resnet50_mnist,resnet50,mnist,C,3,noise,,42,0.9909999966621399,22.232688903808594,0.21163788437843323,0.41287311911582947,0.0333477258682251,,,1
final_C_L3_noise_transnext_tiny_cifar10,transnext_tiny,cifar10,C,3,noise,,42,0.8939999938011169,20.11908531188965,0.4165133535861969,0.48854246735572815,0.04692786559462547,,,1
final_C_L3_noise_transnext_tiny_mnist,transnext_tiny,mnist,C,3,noise,,42,0.9923999905586243,22.232688903808594,0.21163788437843323,0.41287311911582947,0.0333477258682251,,,1
final_C_L3_resolution_densenet121_cifar10,densenet121,cifar10,C,3,resolution,,42,0.676800012588501,21.754364013671875,2.637774705886841,0.7844178676605225,0.07898879796266556,,,1
final_C_L3_resolution_densenet121_mnist,densenet121,mnist,C,3,resolution,,42,0.9359999895095825,16.37200164794922,1.229188084602356,0.7302846908569336,0.054802484810352325,,,1
final_C_L3_resolution_resnet50_cifar10,resnet50,cifar10,C,3,resolution,,42,0.6845999956130981,21.754364013671875,2.637774705886841,0.7844178676605225,0.07898879796266556,,,1
final_C_L3_resolution_resnet50_mnist,resnet50,mnist,C,3,resolution,,42,0.9348000288009644,16.37200164794922,1.229188084602356,0.7302846908569336,0.054802484810352325,,,1
final_C_L3_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C,3,resolution,,42,0.7964000105857849,21.754364013671875,2.637774705886841,0.7844178676605225,0.07898879796266556,,,1
final_C_L3_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C,3,resolution,,42,0.9247999787330627,16.37200164794922,1.229188084602356,0.7302846908569336,0.054802484810352325,,,1
final_C_L3_salt_pepper_densenet121_cifar10,densenet121,cifar10,C,3,salt_pepper,,42,0.8795999884605408,16.383773803710938,0.7016091346740723,0.6348656415939331,0.03523065522313118,,,1
final_C_L3_salt_pepper_densenet121_mnist,densenet121,mnist,C,3,salt_pepper,,42,0.9905999898910522,14.693042755126953,0.7135916352272034,0.7361297607421875,0.032651569694280624,,,1
final_C_L3_salt_pepper_resnet50_cifar10,resnet50,cifar10,C,3,salt_pepper,,42,0.8651999831199646,16.383773803710938,0.7016091346740723,0.6348656415939331,0.03523065522313118,,,1
final_C_L3_salt_pepper_resnet50_mnist,resnet50,mnist,C,3,salt_pepper,,42,0.9887999892234802,14.693042755126953,0.7135916352272034,0.7361297607421875,0.032651569694280624,,,1
final_C_L3_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C,3,salt_pepper,,42,0.954800009727478,16.383773803710938,0.7016091346740723,0.6348656415939331,0.03523065522313118,,,1
final_C_L3_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C,3,salt_pepper,,42,0.9882000088691711,14.693042755126953,0.7135916352272034,0.7361297607421875,0.032651569694280624,,,1
final_C_L3_saturation_densenet121_cifar10,densenet121,cifar10,C,3,saturation,,42,0.9165999889373779,27.94279670715332,4.2279229164123535,0.9583484530448914,0.022430675104260445,,,1
final_C_L3_saturation_densenet121_mnist,densenet121,mnist,C,3,saturation,,42,0.9926000237464905,32.355709075927734,1.6434228420257568,0.9630131721496582,0.010467806831002235,,,1
final_C_L3_saturation_resnet50_cifar10,resnet50,cifar10,C,3,saturation,,42,0.925599992275238,27.94279670715332,4.2279229164123535,0.9583484530448914,0.022430675104260445,,,1
final_C_L3_saturation_resnet50_mnist,resnet50,mnist,C,3,saturation,,42,0.9936000108718872,32.355709075927734,1.6434228420257568,0.9630131721496582,0.010467806831002235,,,1
final_C_L3_saturation_transnext_tiny_cifar10,transnext_tiny,cifar10,C,3,saturation,,42,0.9753999710083008,27.94279670715332,4.2279229164123535,0.9583484530448914,0.022430675104260445,,,1
final_C_L3_saturation_transnext_tiny_mnist,transnext_tiny,mnist,C,3,saturation,,42,0.9918000102043152,32.355709075927734,1.6434228420257568,0.9630131721496582,0.010467806831002235,,,1
final_C_L4_blur_densenet121_cifar10,densenet121,cifar10,C,4,blur,,42,0.8203999996185303,23.633243560791016,2.5236971378326416,0.8216713070869446,0.06562981009483337,,,1
final_C_L4_blur_densenet121_mnist,densenet121,mnist,C,4,blur,,42,0.9927999973297119,18.180816650390625,1.1865705251693726,0.674399733543396,0.06240999698638916,,,1
final_C_L4_blur_resnet50_cifar10,resnet50,cifar10,C,4,blur,,42,0.8145999908447266,23.633243560791016,2.5236971378326416,0.8216713070869446,0.06562981009483337,,,1
final_C_L4_blur_resnet50_mnist,resnet50,mnist,C,4,blur,,42,0.9919999837875366,18.180816650390625,1.1865705251693726,0.674399733543396,0.06240999698638916,,,1
final_C_L4_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C,4,blur,,42,0.9088000059127808,23.633243560791016,2.5236971378326416,0.8216713070869446,0.06562981009483337,,,1
final_C_L4_blur_transnext_tiny_mnist,transnext_tiny,mnist,C,4,blur,,42,0.9927999973297119,18.180816650390625,1.1865705251693726,0.674399733543396,0.06240999698638916,,,1
final_C_L4_noise_densenet121_cifar10,densenet121,cifar10,C,4,noise,,42,0.7505999803543091,17.870250701904297,0.43945324420928955,0.3810991048812866,0.049518898129463196,,,1
final_C_L4_noise_densenet121_mnist,densenet121,mnist,C,4,noise,,42,0.993399977684021,19.858911514282227,0.19559316337108612,0.3662882447242737,0.0320708230137825,,,1
final_C_L4_noise_resnet50_cifar10,resnet50,cifar10,C,4,noise,,42,0.7275999784469604,17.870250701904297,0.43945324420928955,0.3810991048812866,0.049518898129463196,,,1
final_C_L4_noise_resnet50_mnist,resnet50,mnist,C,4,noise,,42,0.9909999966621399,19.858911514282227,0.19559316337108612,0.3662882447242737,0.0320708230137825,,,1
final_C_L4_noise_transnext_tiny_cifar10,transnext_tiny,cifar10,C,4,noise,,42,0.8597999811172485,17.870250701904297,0.43945324420928955,0.3810991048812866,0.049518898129463196,,,1
final_C_L4_noise_transnext_tiny_mnist,transnext_tiny,mnist,C,4,noise,,42,0.991599977016449,19.858911514282227,0.19559316337108612,0.3662882447242737,0.0320708230137825,,,1
final_C_L4_resolution_densenet121_cifar10,densenet121,cifar10,C,4,resolution,,42,0.5776000022888184,19.420162200927734,2.6702418327331543,0.7452123761177063,0.09095361083745956,,,1
final_C_L4_resolution_densenet121_mnist,densenet121,mnist,C,4,resolution,,42,0.8131999969482422,13.894357681274414,1.1913337707519531,0.6452682018280029,0.06976152211427689,,,1
final_C_L4_resolution_resnet50_cifar10,resnet50,cifar10,C,4,resolution,,42,0.6050000190734863,19.420162200927734,2.6702418327331543,0.7452123761177063,0.09095361083745956,,,1
final_C_L4_resolution_resnet50_mnist,resnet50,mnist,C,4,resolution,,42,0.8122000098228455,13.894357681274414,1.1913337707519531,0.6452682018280029,0.06976152211427689,,,1
final_C_L4_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C,4,resolution,,42,0.6840000152587891,19.420162200927734,2.6702418327331543,0.7452123761177063,0.09095361083745956,,,1
final_C_L4_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C,4,resolution,,42,0.8008000254631042,13.894357681274414,1.1913337707519531,0.6452682018280029,0.06976152211427689,,,1
final_C_L4_salt_pepper_densenet121_cifar10,densenet121,cifar10,C,4,salt_pepper,,42,0.8644000291824341,14.95685863494873,0.6035389304161072,0.5382793545722961,0.038013212382793427,,,1
final_C_L4_salt_pepper_densenet121_mnist,densenet121,mnist,C,4,salt_pepper,,42,0.9876000285148621,13.237927436828613,0.5960397124290466,0.6630023717880249,0.034214358776807785,,,1
final_C_L4_salt_pepper_resnet50_cifar10,resnet50,cifar10,C,4,salt_pepper,,42,0.8464000225067139,14.95685863494873,0.6035389304161072,0.5382793545722961,0.038013212382793427,,,1
final_C_L4_salt_pepper_resnet50_mnist,resnet50,mnist,C,4,salt_pepper,,42,0.9890000224113464,13.237927436828613,0.5960397124290466,0.6630023717880249,0.034214358776807785,,,1
final_C_L4_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C,4,salt_pepper,,42,0.9473999738693237,14.95685863494873,0.6035389304161072,0.5382793545722961,0.038013212382793427,,,1
final_C_L4_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C,4,salt_pepper,,42,0.9876000285148621,13.237927436828613,0.5960397124290466,0.6630023717880249,0.034214358776807785,,,1
final_C_L4_saturation_densenet121_cifar10,densenet121,cifar10,C,4,saturation,,42,0.9129999876022339,25.413484573364258,4.716719150543213,0.9450103044509888,0.03320080041885376,,,1
final_C_L4_saturation_densenet121_mnist,densenet121,mnist,C,4,saturation,,42,0.9927999973297119,32.35671615600586,1.6434836387634277,0.9630134701728821,0.010467670857906342,,,1
final_C_L4_saturation_resnet50_cifar10,resnet50,cifar10,C,4,saturation,,42,0.9178000092506409,25.413484573364258,4.716719150543213,0.9450103044509888,0.03320080041885376,,,1
final_C_L4_saturation_resnet50_mnist,resnet50,mnist,C,4,saturation,,42,0.9918000102043152,32.35671615600586,1.6434836387634277,0.9630134701728821,0.010467670857906342,,,1
final_C_L4_saturation_transnext_tiny_cifar10,transnext_tiny,cifar10,C,4,saturation,,42,0.975600004196167,25.413484573364258,4.716719150543213,0.9450103044509888,0.03320080041885376,,,1
final_C_L4_saturation_transnext_tiny_mnist,transnext_tiny,mnist,C,4,saturation,,42,0.9923999905586243,32.35671615600586,1.6434836387634277,0.9630134701728821,0.010467670857906342,,,1
final_C_L5_blur_densenet121_cifar10,densenet121,cifar10,C,5,blur,,42,0.7142000198364258,21.055660247802734,2.5229697227478027,0.7721232771873474,0.08173324167728424,,,1
final_C_L5_blur_densenet121_mnist,densenet121,mnist,C,5,blur,,42,0.9846000075340271,15.504034996032715,1.2535494565963745,0.49593642354011536,0.08473728597164154,,,1
final_C_L5_blur_resnet50_cifar10,resnet50,cifar10,C,5,blur,,42,0.7098000049591064,21.055660247802734,2.5229697227478027,0.7721232771873474,0.08173324167728424,,,1
final_C_L5_blur_resnet50_mnist,resnet50,mnist,C,5,blur,,42,0.9882000088691711,15.504034996032715,1.2535494565963745,0.49593642354011536,0.08473728597164154,,,1
final_C_L5_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C,5,blur,,42,0.824400007724762,21.055660247802734,2.5229697227478027,0.7721232771873474,0.08173324167728424,,,1
final_C_L5_blur_transnext_tiny_mnist,transnext_tiny,mnist,C,5,blur,,42,0.9905999898910522,15.504034996032715,1.2535494565963745,0.49593642354011536,0.08473728597164154,,,1
final_C_L5_noise_densenet121_cifar10,densenet121,cifar10,C,5,noise,,42,0.6845999956130981,15.49093246459961,0.42596572637557983,0.2772984504699707,0.04768216609954834,,,1
final_C_L5_noise_densenet121_mnist,densenet121,mnist,C,5,noise,,42,0.9927999973297119,17.161060333251953,0.19265809655189514,0.31492114067077637,0.02925056777894497,,,1
final_C_L5_noise_resnet50_cifar10,resnet50,cifar10,C,5,noise,,42,0.6687999963760376,15.49093246459961,0.42596572637557983,0.2772984504699707,0.04768216609954834,,,1
final_C_L5_noise_resnet50_mnist,resnet50,mnist,C,5,noise,,42,0.9896000027656555,17.161060333251953,0.19265809655189514,0.31492114067077637,0.02925056777894497,,,1
final_C_L5_noise_transnext_tiny_cifar10,transnext_tiny,cifar10,C,5,noise,,42,0.8008000254631042,15.49093246459961,0.42596572637557983,0.2772984504699707,0.04768216609954834,,,1
final_C_L5_noise_transnext_tiny_mnist,transnext_tiny,mnist,C,5,noise,,42,0.9914000034332275,17.161060333251953,0.19265809655189514,0.31492114067077637,0.02925056777894497,,,1
final_C_L5_resolution_densenet121_cifar10,densenet121,cifar10,C,5,resolution,,42,0.4431999921798706,15.875357627868652,2.8242347240448,0.6916051506996155,0.10936250537633896,,,1
final_C_L5_resolution_densenet121_mnist,densenet121,mnist,C,5,resolution,,42,0.45399999618530273,11.120646476745605,1.8049718141555786,0.5071334838867188,0.10736045986413956,,,1
final_C_L5_resolution_resnet50_cifar10,resnet50,cifar10,C,5,resolution,,42,0.43160000443458557,15.875357627868652,2.8242347240448,0.6916051506996155,0.10936250537633896,,,1
final_C_L5_resolution_resnet50_mnist,resnet50,mnist,C,5,resolution,,42,0.4426000118255615,11.120646476745605,1.8049718141555786,0.5071334838867188,0.10736045986413956,,,1
final_C_L5_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C,5,resolution,,42,0.46239998936653137,15.875357627868652,2.8242347240448,0.6916051506996155,0.10936250537633896,,,1
final_C_L5_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C,5,resolution,,42,0.44859999418258667,11.120646476745605,1.8049718141555786,0.5071334838867188,0.10736045986413956,,,1
final_C_L5_salt_pepper_densenet121_cifar10,densenet121,cifar10,C,5,salt_pepper,,42,0.8507999777793884,13.879243850708008,0.5841748714447021,0.4559713900089264,0.040805231779813766,,,1
final_C_L5_salt_pepper_densenet121_mnist,densenet121,mnist,C,5,salt_pepper,,42,0.9872000217437744,12.131567001342773,0.529333770275116,0.5962571501731873,0.034998033195734024,,,1
final_C_L5_salt_pepper_resnet50_cifar10,resnet50,cifar10,C,5,salt_pepper,,42,0.8330000042915344,13.879243850708008,0.5841748714447021,0.4559713900089264,0.040805231779813766,,,1
final_C_L5_salt_pepper_resnet50_mnist,resnet50,mnist,C,5,salt_pepper,,42,0.9861999750137329,12.131567001342773,0.529333770275116,0.5962571501731873,0.034998033195734024,,,1
final_C_L5_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C,5,salt_pepper,,42,0.9422000050544739,13.879243850708008,0.5841748714447021,0.4559713900089264,0.040805231779813766,,,1
