tag,model,dataset,phase,level,axis,regularization,seed,val_acc,psnr_mean,psnr_std,ssim_mean,ssim_std,val_acc_mean,val_acc_std,n_seeds
final_B2nr_L3_resnet50_mnist,resnet50,mnist,B2nr,3,,,42,0.8575999736785889,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,0.8574000000953674,0.000432038299405364,3
final_B2nr_L3_transnext_tiny_cifar10,transnext_tiny,cifar10,B2nr,3,,,42,0.43880000710487366,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,0.43573333819707233,0.0027145656804840493,3
final_B2nr_L3_transnext_tiny_mnist,transnext_tiny,mnist,B2nr,3,,,42,0.8474000096321106,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,0.8461333314577738,0.0028394164706691677,3
final_B_L1_densenet121_cifar10,densenet121,cifar10,B,1,,,42,0.7847999930381775,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_B_L1_densenet121_mnist,densenet121,mnist,B,1,,,42,0.9873999953269958,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_B_L1_resnet50_cifar10,resnet50,cifar10,B,1,,,42,0.7645999789237976,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_B_L1_resnet50_mnist,resnet50,mnist,B,1,,,42,0.9918000102043152,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_B_L1_transnext_tiny_cifar10,transnext_tiny,cifar10,B,1,,,42,0.8758000135421753,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_B_L1_transnext_tiny_mnist,transnext_tiny,mnist,B,1,,,42,0.9896000027656555,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_B_L2_densenet121_cifar10,densenet121,cifar10,B,2,,,42,0.5368000268936157,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_B_L2_densenet121_mnist,densenet121,mnist,B,2,,,42,0.965399980545044,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_B_L2_resnet50_cifar10,resnet50,cifar10,B,2,,,42,0.5393999814987183,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_B_L2_resnet50_mnist,resnet50,mnist,B,2,,,42,0.9635999798774719,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_B_L2_transnext_tiny_cifar10,transnext_tiny,cifar10,B,2,,,42,0.6421999931335449,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_B_L2_transnext_tiny_mnist,transnext_tiny,mnist,B,2,,,42,0.9599999785423279,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_B_L3_densenet121_cifar10,densenet121,cifar10,B,3,,,42,0.3959999978542328,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.38540000716845196,0.007812803906038465,3
final_B_L3_densenet121_mnist,densenet121,mnist,B,3,,,42,0.819599986076355,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.8079333305358887,0.008425876815811922,3
final_B_L3_resnet50_cifar10,resnet50,cifar10,B,3,,,42,0.358599990606308,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.3631333311398824,0.008317583471234175,3
final_B_L3_resnet50_mnist,resnet50,mnist,B,3,,,42,0.7886000275611877,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.7916666865348816,0.007975524559301108,3
final_B_L3_transnext_tiny_cifar10,transnext_tiny,cifar10,B,3,,,42,0.38999998569488525,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.39479999740918476,0.006231112041884804,3
final_B_L3_transnext_tiny_mnist,transnext_tiny,mnist,B,3,,,42,0.7993999719619751,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.8004666566848755,0.0011115564086783974,3
final_B_L4_densenet121_cifar10,densenet121,cifar10,B,4,,,42,0.28519999980926514,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_B_L4_densenet121_mnist,densenet121,mnist,B,4,,,42,0.5807999968528748,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_B_L4_resnet50_cifar10,resnet50,cifar10,B,4,,,42,0.26840001344680786,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_B_L4_resnet50_mnist,resnet50,mnist,B,4,,,42,0.5644000172615051,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_B_L4_transnext_tiny_cifar10,transnext_tiny,cifar10,B,4,,,42,0.2849999964237213,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_B_L4_transnext_tiny_mnist,transnext_tiny,mnist,B,4,,,42,0.5723999738693237,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_B_L5_densenet121_cifar10,densenet121,cifar10,B,5,,,42,0.19580000638961792,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_B_L5_densenet121_mnist,densenet121,mnist,B,5,,,42,0.2775999903678894,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_B_L5_resnet50_cifar10,resnet50,cifar10,B,5,,,42,0.19059999287128448,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_B_L5_resnet50_mnist,resnet50,mnist,B,5,,,42,0.2800000011920929,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_B_L5_transnext_tiny_cifar10,transnext_tiny,cifar10,B,5,,,42,0.20100000500679016,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_B_L5_transnext_tiny_mnist,transnext_tiny,mnist,B,5,,,42,0.27480000257492065,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_C2_L1_blur_densenet121_cifar10,densenet121,cifar10,C2,1,blur,T3,42,0.8823999762535095,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,,,1
final_C2_L1_blur_densenet121_mnist,densenet121,mnist,C2,1,blur,T3,42,0.9941999912261963,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,,,1
final_C2_L1_blur_resnet50_cifar10,resnet50,cifar10,C2,1,blur,T3,42,0.9061999917030334,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,,,1
final_C2_L1_blur_resnet50_mnist,resnet50,mnist,C2,1,blur,T3,42,0.9923999905586243,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,,,1
final_C2_L1_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,1,blur,T3,42,0.9652000069618225,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,,,1
final_C2_L1_blur_transnext_tiny_mnist,transnext_tiny,mnist,C2,1,blur,T3,42,0.9937999844551086,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,,,1
final_C2_L1_resolution_densenet121_cifar10,densenet121,cifar10,C2,1,resolution,T3,42,0.7681999802589417,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,,,1
final_C2_L1_resolution_densenet121_mnist,densenet121,mnist,C2,1,resolution,T3,42,0.9937999844551086,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,,,1
final_C2_L1_resolution_resnet50_cifar10,resnet50,cifar10,C2,1,resolution,T3,42,0.801800012588501,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,,,1
final_C2_L1_resolution_resnet50_mnist,resnet50,mnist,C2,1,resolution,T3,42,0.9905999898910522,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,,,1
final_C2_L1_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,1,resolution,T3,42,0.8934000134468079,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,,,1
final_C2_L1_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C2,1,resolution,T3,42,0.9932000041007996,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,,,1
final_C2_L1_salt_pepper_densenet121_cifar10,densenet121,cifar10,C2,1,salt_pepper,T3,42,0.8637999892234802,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,,,1
final_C2_L1_salt_pepper_densenet121_mnist,densenet121,mnist,C2,1,salt_pepper,T3,42,0.991599977016449,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,,,1
final_C2_L1_salt_pepper_resnet50_cifar10,resnet50,cifar10,C2,1,salt_pepper,T3,42,0.8623999953269958,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,,,1
final_C2_L1_salt_pepper_resnet50_mnist,resnet50,mnist,C2,1,salt_pepper,T3,42,0.9914000034332275,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,,,1
final_C2_L1_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,1,salt_pepper,T3,42,0.9520000219345093,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,,,1
final_C2_L1_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C2,1,salt_pepper,T3,42,0.9927999973297119,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,,,1
final_C2_L2_blur_densenet121_cifar10,densenet121,cifar10,C2,2,blur,T3,42,0.8565999865531921,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,,,1
final_C2_L2_blur_densenet121_mnist,densenet121,mnist,C2,2,blur,T3,42,0.993399977684021,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,,,1
final_C2_L2_blur_resnet50_cifar10,resnet50,cifar10,C2,2,blur,T3,42,0.895799994468689,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,,,1
final_C2_L2_blur_resnet50_mnist,resnet50,mnist,C2,2,blur,T3,42,0.9926000237464905,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,,,1
final_C2_L2_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,2,blur,T3,42,0.9595999717712402,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,,,1
final_C2_L2_blur_transnext_tiny_mnist,transnext_tiny,mnist,C2,2,blur,T3,42,0.9937999844551086,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,,,1
final_C2_L2_resolution_densenet121_cifar10,densenet121,cifar10,C2,2,resolution,T3,42,0.6403999924659729,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,,,1
final_C2_L2_resolution_densenet121_mnist,densenet121,mnist,C2,2,resolution,T3,42,0.9864000082015991,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,,,1
final_C2_L2_resolution_resnet50_cifar10,resnet50,cifar10,C2,2,resolution,T3,42,0.6636000275611877,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,,,1
final_C2_L2_resolution_resnet50_mnist,resnet50,mnist,C2,2,resolution,T3,42,0.9864000082015991,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,,,1
final_C2_L2_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,2,resolution,T3,42,0.7608000040054321,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,,,1
final_C2_L2_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C2,2,resolution,T3,42,0.9876000285148621,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,,,1
final_C2_L2_salt_pepper_densenet121_cifar10,densenet121,cifar10,C2,2,salt_pepper,T3,42,0.8325999975204468,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,,,1
final_C2_L2_salt_pepper_densenet121_mnist,densenet121,mnist,C2,2,salt_pepper,T3,42,0.9919999837875366,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,,,1
final_C2_L2_salt_pepper_resnet50_cifar10,resnet50,cifar10,C2,2,salt_pepper,T3,42,0.8518000245094299,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,,,1
final_C2_L2_salt_pepper_resnet50_mnist,resnet50,mnist,C2,2,salt_pepper,T3,42,0.991599977016449,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,,,1
final_C2_L2_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,2,salt_pepper,T3,42,0.9477999806404114,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,,,1
final_C2_L2_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C2,2,salt_pepper,T3,42,0.9914000034332275,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,,,1
final_C2_L3_blur_densenet121_cifar10,densenet121,cifar10,C2,3,blur,T3,42,0.8166000247001648,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,,,1
final_C2_L3_blur_densenet121_mnist,densenet121,mnist,C2,3,blur,T3,42,0.9922000169754028,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,,,1
final_C2_L3_blur_resnet50_cifar10,resnet50,cifar10,C2,3,blur,T3,42,0.8335999846458435,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,,,1
final_C2_L3_blur_resnet50_mnist,resnet50,mnist,C2,3,blur,T3,42,0.9932000041007996,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,,,1
final_C2_L3_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,3,blur,T3,42,0.9300000071525574,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,,,1
final_C2_L3_blur_transnext_tiny_mnist,transnext_tiny,mnist,C2,3,blur,T3,42,0.9945999979972839,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,,,1
final_C2_L3_resolution_densenet121_cifar10,densenet121,cifar10,C2,3,resolution,T3,42,0.5134000182151794,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,,,1
final_C2_L3_resolution_densenet121_mnist,densenet121,mnist,C2,3,resolution,T3,42,0.9430000185966492,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,,,1
final_C2_L3_resolution_resnet50_cifar10,resnet50,cifar10,C2,3,resolution,T3,42,0.5131999850273132,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,,,1
final_C2_L3_resolution_resnet50_mnist,resnet50,mnist,C2,3,resolution,T3,42,0.9412000179290771,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,,,1
final_C2_L3_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,3,resolution,T3,42,0.5824000239372253,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,,,1
final_C2_L3_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C2,3,resolution,T3,42,0.9394000172615051,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,,,1
final_C2_L3_salt_pepper_densenet121_cifar10,densenet121,cifar10,C2,3,salt_pepper,T3,42,0.805400013923645,15.4623441696167,1.0309724807739258,0.6087185144424438,0.043637752532958984,,,1
final_C2_L3_salt_pepper_densenet121_mnist,densenet121,mnist,C2,3,salt_pepper,T3,42,0.9919999837875366,14.693066596984863,0.7136021256446838,0.7361279129981995,0.032651469111442566,,,1
final_C2_L3_salt_pepper_resnet50_cifar10,resnet50,cifar10,C2,3,salt_pepper,T3,42,0.8348000049591064,15.4623441696167,1.0309724807739258,0.6087185144424438,0.043637752532958984,,,1
final_C2_L3_salt_pepper_resnet50_mnist,resnet50,mnist,C2,3,salt_pepper,T3,42,0.9918000102043152,14.693066596984863,0.7136021256446838,0.7361279129981995,0.032651469111442566,,,1
final_C2_L3_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,3,salt_pepper,T3,42,0.9351999759674072,15.4623441696167,1.0309724807739258,0.6087185144424438,0.043637752532958984,,,1
final_C2_L3_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C2,3,salt_pepper,T3,42,0.9919999837875366,14.693066596984863,0.7136021256446838,0.7361279129981995,0.032651469111442566,,,1
final_C2_L4_blur_densenet121_cifar10,densenet121,cifar10,C2,4,blur,T3,42,0.7490000128746033,20.432926177978516,2.7697925567626953,0.7977003455162048,0.07130687683820724,,,1
final_C2_L4_blur_densenet121_mnist,densenet121,mnist,C2,4,blur,T3,42,0.9937999844551086,18.18025016784668,1.1865499019622803,0.6744004487991333,0.06241026520729065,,,1
final_C2_L4_blur_resnet50_cifar10,resnet50,cifar10,C2,4,blur,T3,42,0.7167999744415283,20.432926177978516,2.7697925567626953,0.7977003455162048,0.07130687683820724,,,1
final_C2_L4_blur_resnet50_mnist,resnet50,mnist,C2,4,blur,T3,42,0.9932000041007996,18.18025016784668,1.1865499019622803,0.6744004487991333,0.06241026520729065,,,1
final_C2_L4_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,4,blur,T3,42,0.8802000284194946,20.432926177978516,2.7697925567626953,0.7977003455162048,0.07130687683820724,,,1
final_C2_L4_blur_transnext_tiny_mnist,transnext_tiny,mnist,C2,4,blur,T3,42,0.9947999715805054,18.18025016784668,1.1865499019622803,0.6744004487991333,0.06241026520729065,,,1
final_C2_L4_resolution_densenet121_cifar10,densenet121,cifar10,C2,4,resolution,T3,42,0.44440001249313354,17.785358428955078,2.4716906547546387,0.7286491394042969,0.09208029508590698,,,1
final_C2_L4_resolution_densenet121_mnist,densenet121,mnist,C2,4,resolution,T3,42,0.8227999806404114,13.894586563110352,1.1913241147994995,0.6452706456184387,0.06976142525672913,,,1
final_C2_L4_resolution_resnet50_cifar10,resnet50,cifar10,C2,4,resolution,T3,42,0.4296000003814697,17.785358428955078,2.4716906547546387,0.7286491394042969,0.09208029508590698,,,1
final_C2_L4_resolution_resnet50_mnist,resnet50,mnist,C2,4,resolution,T3,42,0.8123999834060669,13.894586563110352,1.1913241147994995,0.6452706456184387,0.06976142525672913,,,1
final_C2_L4_resolution_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,4,resolution,T3,42,0.4657999873161316,17.785358428955078,2.4716906547546387,0.7286491394042969,0.09208029508590698,,,1
final_C2_L4_resolution_transnext_tiny_mnist,transnext_tiny,mnist,C2,4,resolution,T3,42,0.8173999786376953,13.894586563110352,1.1913241147994995,0.6452706456184387,0.06976142525672913,,,1
final_C2_L4_salt_pepper_densenet121_cifar10,densenet121,cifar10,C2,4,salt_pepper,T3,42,0.7929999828338623,14.28207778930664,0.8443660140037537,0.5158904790878296,0.04409470409154892,,,1
